state_name,district_name,market_name,commodity_name,variety,min_price,max_price,modal_price,date
Kerala,Kollam,Valakom  VFPCK,Banana,Red Banana,5500,6500,6000,08/09/2025
Maharashtra,Amarawati,Amarawati,Bajra(Pearl Millet/Cumbu),Other,2100,2300,2200,08/09/2025
Maharashtra,Buldhana,Deoulgaon Raja,Bajra(Pearl Millet/Cumbu),Other,2200,2400,2400,08/09/2025
Maharashtra,Chattrapati Sambhajinagar,Gangapur,Bajra(Pearl Millet/Cumbu),Other,2066,2676,2400,08/09/2025
Maharashtra,Dhule,Dhule,Bajra(Pearl Millet/Cumbu),Other,2300,2641,2500,08/09/2025
Odisha,Dhenkanal,Hindol,Potato,Potato,1700,2000,1800,08/09/2025
Punjab,Sangrur,Dhuri,Onion,Onion,1500,1800,1600,08/09/2025
Rajasthan, Jhunjhunu,Nawalgarh,Onion,1st Sort,1000,1200,1100,08/09/2025
Rajasthan,Nagaur,Degana,Bajra(Pearl Millet/Cumbu),Other,2300,2350,2325,08/09/2025
Rajasthan,Tonk,Dooni,Bajra(Pearl Millet/Cumbu),Bold,2100,2100,2100,08/09/2025
Uttar Pradesh,Aligarh,Khair,Bajra(Pearl Millet/Cumbu),Hybrid,1650,1960,1850,08/09/2025
Uttar Pradesh,Kanpur,Choubepur,Bajra(Pearl Millet/Cumbu),Hybrid,2200,2320,2270,08/09/2025
Kerala,Kollam,Chengamanad  VFPCK,Banana,Palayamthodan,3000,3000,3000,08/09/2025
Kerala,Kollam,Kadakkal  VFPCK,Banana,Poovan,3200,4200,3500,08/09/2025
Rajasthan,Jaisalmer,Jaisalmer,Potato,Potato,1300,1500,1400,08/09/2025
Kerala,Kollam,PLAPPALLY VFPCK,Banana,Banana - Ripe,7500,7500,7500,08/09/2025
Kerala,Kollam,Punalur VFPCK,Banana,Palayamthodan,2400,2800,2600,08/09/2025
Kerala,Kollam,Punalur VFPCK,Banana,Red Banana,5500,6500,6000,08/09/2025
Kerala,Kollam,PUTHUR VFPCK,Banana,Nendra Bale,6500,7500,7000,08/09/2025
Kerala,Kollam,THALAVOOR VFPCK,Banana,Banana - Ripe,7000,7000,7000,08/09/2025
Gujarat,Porbandar,Porbandar,Onion,Other,1000,1500,1250,08/09/2025
Haryana,Ambala,Naraingarh,Onion,Onion,1200,1600,1400,08/09/2025
Haryana,Bhiwani,Bhiwani,Onion,Other,1410,2210,1720,08/09/2025
Haryana,Gurgaon,Farukh Nagar,Onion,Other,1800,2300,1800,08/09/2025
Karnataka,Chikmagalur,Chikkamagalore,Onion,Other,1871,2071,1971,08/09/2025
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,201,1200,634,08/09/2025
Bihar,Sheohar,Sheohar,Onion,Medium,2200,2500,2400,08/09/2025
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,1500,2000,1750,08/09/2025
Haryana,Kurukshetra,Thanesar,Banana,Other,3000,5000,4000,08/09/2025
Haryana,Mahendragarh-Narnaul,Mohindergarh,Banana,Banana - Ripe,2000,2000,2000,08/09/2025
Haryana,Sonipat,Sonepat,Banana,Other,3200,3600,3200,08/09/2025
Himachal Pradesh,Hamirpur,Hamirpur,Banana,Other,3800,4500,4200,08/09/2025
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Banana,Banana - Ripe,4500,5200,4900,08/09/2025
Maharashtra,Pune,Pune(Manjri),Potato,Other,1500,2500,2000,08/09/2025
Maharashtra,Sangli,"Sangli(Phale, Bhajipura Market)",Potato,Local,1000,1800,1400,08/09/2025
Punjab,Gurdaspur,Dinanagar,Onion,Other,1900,2100,2000,08/09/2025
Nagaland,Kohima,Kohima,Potato,Potato,4000,4200,4100,08/09/2025
Punjab,Ludhiana,Ludhiana,Onion,Other,500,1400,1000,08/09/2025
Odisha,Balasore,Jaleswar,Potato,Other,1200,1500,1400,08/09/2025
Gujarat,Patan,Siddhpur,Bajra(Pearl Millet/Cumbu),Deshi,2095,2825,2460,08/09/2025
Gujarat,Sabarkantha,Modasa,Bajra(Pearl Millet/Cumbu),Hybrid,2400,2500,2500,08/09/2025
Kerala,Alappuzha,Chengannur,Onion,Small,4900,5200,5000,08/09/2025
Haryana,Kaithal,Pundri,Potato,Other,1000,1100,1050,08/09/2025
Kerala,Ernakulam,Thrippunithura,Onion,Big,2200,2800,2200,08/09/2025
Kerala,Kasargod,Kanjangadu,Potato,Potato,2800,3400,3000,08/09/2025
Gujarat,Bharuch,Jambusar(Kaavi),Jowar(Sorghum),Other,3000,3600,3300,08/09/2025
Gujarat,Bhavnagar,Taleja,Jowar(Sorghum),Local,2605,2895,2750,08/09/2025
Gujarat,Jamnagar,Dhrol,Jowar(Sorghum),Other,3200,3775,3490,08/09/2025
Gujarat,Surat,Vyra,Jowar(Sorghum),Other,1750,2250,2000,08/09/2025
Madhya Pradesh,Indore,Indore,Jowar(Sorghum),Jowar (Yellow),3485,3485,3485,08/09/2025
Maharashtra,Ahmednagar,Shevgaon(Bodhegaon),Jowar(Sorghum),Other,2000,2000,2000,08/09/2025
Maharashtra,Beed,Beed,Jowar(Sorghum),Other,1900,3300,2394,08/09/2025
Maharashtra,Dhule,Dhule,Jowar(Sorghum),Jowar ( White),1580,2270,2171,08/09/2025
Maharashtra,Jalgaon,Chalisgaon,Jowar(Sorghum),Jowar ( White),2000,2301,2266,08/09/2025
Maharashtra,Jalgaon,Pachora,Jowar(Sorghum),Jowar ( White),1900,2300,2100,08/09/2025
Maharashtra,Sholapur,Solapur,Jowar(Sorghum),Other,2030,2855,2700,08/09/2025
West Bengal,Hooghly,Champadanga,Jute,Other,7800,8000,7800,08/09/2025
West Bengal,Medinipur(W),Ghatal,Jute,TD-5,7400,7600,7500,08/09/2025
West Bengal,Nadia,Nadia,Jute,TD-5,7800,8000,7900,08/09/2025
West Bengal,Purba Bardhaman,Kalna,Jute,TD-5,7800,8000,7900,08/09/2025
Uttar Pradesh,Auraiya,Achalda,Onion,Red,1400,1540,1460,08/09/2025
Kerala,Thirssur,Varandarappilly  VFPCK,Banana,Nendra Bale,3800,4400,4200,08/09/2025
Kerala,Thiruvananthapuram,Parassala,Banana,Palayamthodan,2800,3000,2800,08/09/2025
Uttar Pradesh,Auraiya,Auraiya,Onion,Red,1370,1550,1460,08/09/2025
Uttar Pradesh,Badaun,Wazirganj,Onion,Red,1360,1420,1400,08/09/2025
Uttar Pradesh,Badaun,Wazirganj,Onion,Red,1250,1300,1275,08/09/2025
Uttar Pradesh,Banda,Banda,Onion,Red,1350,1500,1425,08/09/2025
Uttar Pradesh,Bareilly,Anwala,Onion,Red,1200,1500,1400,08/09/2025
Uttar Pradesh,Gorakhpur,Gorakhpur,Potato,Red,1075,1175,1125,08/09/2025
Uttar Pradesh,Hardoi,Madhoganj,Potato,Badshah,1050,1150,1105,08/09/2025
Uttar Pradesh,Hardoi,Sandila,Potato,Badshah,1050,1150,1100,08/09/2025
Uttar Pradesh,Bulandshahar,Gulavati,Onion,Red,1500,1700,1600,08/09/2025
Uttar Pradesh,Etah,Awagarh,Onion,Red,1200,1400,1250,08/09/2025
Uttar Pradesh,Fatehpur,Fatehpur,Onion,Red,1300,1460,1380,08/09/2025
Maharashtra,Pune,Pune(Moshi),Banana,Other,2000,8000,5000,08/09/2025
Nagaland,Longleng,Longleng,Banana,Other,4200,4500,4300,08/09/2025
Uttar Pradesh,Gonda,Gonda,Onion,Red,1350,1500,1400,08/09/2025
Uttar Pradesh,Hardoi,Sandila,Onion,Red,1400,1480,1440,08/09/2025
Uttar Pradesh,Jaunpur,Mugrabaadshahpur,Potato,Badshah,975,1175,1075,08/09/2025
Uttar Pradesh,Kannuj,Chhibramau,Potato,Local,800,925,860,08/09/2025
Uttar Pradesh,Kannuj,Kannauj,Potato,Local,800,900,850,08/09/2025
Uttar Pradesh,Kanpur,Kanpur(Grain),Potato,Desi,840,1040,940,08/09/2025
Uttar Pradesh,Kanpur Dehat,Jhijhank,Potato,Other,600,700,650,08/09/2025
Uttar Pradesh,Lakhimpur,Lakhimpur,Potato,Local,1000,1120,1080,08/09/2025
Uttar Pradesh,Maharajganj,Anandnagar,Potato,Red,1400,1800,1600,08/09/2025
Uttar Pradesh,Maharajganj,Gadaura,Potato,Red,1150,1300,1250,08/09/2025
Uttar Pradesh,Maharajganj,Partaval,Potato,Desi,1035,1190,1110,08/09/2025
Uttar Pradesh,Mainpuri,Bewar,Potato,Local,720,820,770,08/09/2025
Uttar Pradesh,Mathura,Kosikalan,Potato,Desi,980,1040,1020,08/09/2025
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj,Onion,Red,2600,2650,2625,08/09/2025
Uttar Pradesh,Prayagraj,Jasra,Potato,Desi,865,1040,970,08/09/2025
Uttar Pradesh,Lucknow,Lucknow,Onion,Red,1440,1540,1490,08/09/2025
Uttar Pradesh,Maharajganj,Nautnava,Onion,Red,1300,1600,1460,08/09/2025
Punjab,Hoshiarpur,Garh Shankar,Banana,Medium,2500,3000,2800,08/09/2025
Punjab,Hoshiarpur,GarhShankar (Kotfatuhi),Banana,Other,2500,3500,3000,08/09/2025
Punjab,Hoshiarpur,Mukerian,Banana,Banana - Ripe,2500,3500,3000,08/09/2025
Punjab,Ludhiana,Khanna,Banana,Other,1600,1600,1600,08/09/2025
Punjab,Moga,Baghapurana,Banana,Amruthapani,2000,3000,2500,08/09/2025
Uttar Pradesh,Siddharth Nagar,Sahiyapur,Potato,Desi,900,1050,950,08/09/2025
Uttar Pradesh,Sitapur,Mehmoodabad,Potato,Desi,1050,1110,1080,08/09/2025
Kerala,Kottayam,Thalayolaparambu,Banana,Palayamthodan,2800,3100,3000,08/09/2025
Kerala,Kottayam,VAKATHANAM VFPCK,Banana,Nendra Bale,5800,6000,6000,08/09/2025
Kerala,Kozhikode(Calicut),KODIYATHUR VFPCK,Banana,Nendra Bale,4500,4500,4500,08/09/2025
Kerala,Malappuram,ANGADIPPURAM VFPCK,Banana,Nendra Bale,4000,4200,4100,08/09/2025
Kerala,Malappuram,MANKADA VFPCK,Banana,Pachha Bale,1200,1500,1400,08/09/2025
Telangana,Hyderabad,Gudimalkapur,Potato,(Red Nanital),1200,1800,1500,08/09/2025
Tripura,Dhalai,Gandacharra,Potato,Local,2300,2500,2400,08/09/2025
Tripura,Khowai,Teliamura,Potato,Jalander,1700,1850,1800,08/09/2025
Tripura,North Tripura,Dasda,Potato,Local,1700,1900,1800,08/09/2025
Tripura,North Tripura,Kanchanpur,Potato,Potato,1800,2000,1900,08/09/2025
Tripura,North Tripura,Panisagar,Potato,Jalander,1500,1520,1510,08/09/2025
Uttar Pradesh,Aligarh,Charra,Potato,Desi,1000,1100,1050,08/09/2025
Kerala,Pathanamthitta,NEDUMBRAM VFPCK,Banana,Nendra Bale,5000,8600,6800,08/09/2025
